Data,EURO STOXX 50
12/1986,10000
01/1987,10144.018022206114
02/1987,10112.28629789546
03/1987,10482.182103968418
04/1987,10766.009278779482
05/1987,10710.548322293027
06/1987,10993.009862047013
07/1987,11454.257403633643
08/1987,11313.859437663963
09/1987,11385.483871666742
10/1987,9007.366690380173
11/1987,8633.869794397542
12/1987,8772.275022110596
01/1988,8525.78072199303
02/1988,9243.314998455477
03/1988,9288.207877189603
04/1988,9475.536631677807
05/1988,9448.035493591047
06/1988,9780.671539981582
07/1988,9613.374715024689
08/1988,9185.166717060187
09/1988,9854.688445734217
10/1988,10470.630360835832
11/1988,10784.255111339338
12/1988,11208.168159010598
01/1989,11030.40607689015
02/1989,10554.976056685262
03/1989,10886.505067276265
04/1989,11057.96856681734
05/1989,10919.144686908478
06/1989,11132.794476297
07/1989,12246.81846833603
08/1989,12549.123726890974
09/1989,12320.538842177593
10/1989,12037.651613756283
11/1989,12888.137304833106
12/1989,14434.703737475067
01/1990,14498.088534775225
02/1990,14403.741512640212
03/1990,15073.205985152661
04/1990,14914.569211188595
05/1990,15658.634449904446
06/1990,15667.235732668201
07/1990,16214.51227029903
08/1990,14620.942565147761
09/1990,12868.095219446974
10/1990,13952.754658583475
11/1990,13976.967168957386
12/1990,13600.77639974218
01/1991,13784.652354088335
02/1991,15431.325666803543
03/1991,14522.740187645242
04/1991,14092.875189935321
05/1991,14624.784264283755
06/1991,13583.77885627797
07/1991,13645.60699796451
08/1991,14179.63864597029
09/1991,14482.49630920996
10/1991,14457.185109172775
11/1991,14769.880283450124
12/1991,15484.999740519695
01/1992,16088.593862536665
02/1992,16301.141235670406
03/1992,15595.672900532758
04/1992,16139.340252144564
05/1992,16905.460078534834
06/1992,16755.924010127164
07/1992,16617.333262449516
08/1992,16415.697396883203
09/1992,16382.563855050288
10/1992,15928.923346374784
11/1992,15459.754690458332
12/1992,15812.528511103917
01/1993,15668.982456354914
02/1993,16538.454059634732
03/1993,16675.849273894004
04/1993,16901.63357150992
05/1993,17042.731458039143
06/1993,17309.55223128988
07/1993,17836.181975602227
08/1993,18941.52361662958
09/1993,19238.74300644382
10/1993,20115.24177070846
11/1993,19124.510832477637
12/1993,20711.186438582507
01/1994,20779.095556097487
02/1994,19994.72855176448
03/1994,19998.514268685514
04/1994,20882.526258147187
05/1994,20508.592160353484
06/1994,19815.07428982798
07/1994,21962.5087177834
08/1994,22334.11889882378
09/1994,21092.29890410921
10/1994,21983.948786945886
11/1994,21604.088098985474
12/1994,21143.667646405436
01/1995,21211.93077820789
02/1995,21748.741475279046
03/1995,22412.963907482594
04/1995,23731.34921314699
05/1995,24201.800245160666
06/1995,24293.97742664698
07/1995,25987.80384942473
08/1995,25207.130766419956
09/1995,24720.41691286578
10/1995,24910.693246460363
11/1995,25718.09363427639
12/1995,26235.30293624313
01/1996,27745.988817148947
02/1996,27355.187975681252
03/1996,27670.761483517934
04/1996,28518.52500069758
05/1996,28505.037918342467
06/1996,28742.56266987513
07/1996,27961.681933571508
08/1996,28437.09178493928
09/1996,29907.000134743073
10/1996,29939.786948786936
11/1996,32439.442137870825
12/1996,32319.86766280625
01/1997,34128.50471465737
02/1997,33900.699771019645
03/1997,34507.29800203594
04/1997,34786.91323548671
05/1997,36133.87743807725
06/1997,38823.59425907934
07/1997,42192.08289943545
08/1997,36944.08989041635
09/1997,40757.09939137689
10/1997,37494.53380461643
11/1997,39810.102492886836
12/1997,40516.436647389506
01/1998,41883.0229973177
02/1998,45167.368332652135
03/1998,49341.238988856705
04/1998,50379.54197509093
05/1998,54131.71706035164
06/1998,54974.313450045986
07/1998,56087.87502327453
08/1998,48230.37355100895
09/1998,45428.90933534318
10/1998,50996.238507114394
11/1998,54608.71117744714
12/1998,57786.39883251057
01/1999,59407.834084011745
02/1999,56500.08821663622
03/1999,56307.95068274992
04/1999,58659.82455178594
05/1999,56257.34247467898
06/1999,58118.221779495216
07/1999,57862.29452378068
08/1999,59340.17381470495
09/1999,58279.70476451417
10/1999,61065.1577333315
11/1999,64891.26684637839
12/1999,73399.07138387716
01/2000,68343.9889681271
02/2000,75029.06491351422
03/2000,74764.13737971736
04/2000,71920.16529197825
05/2000,72503.09111836279
06/2000,73820.08076192925
07/2000,71161.3723373974
08/2000,69327.52367956017
09/2000,64804.949414532464
10/2000,64044.73075890677
11/2000,62596.97647176803
12/2000,66827.06118931342
01/2001,66868.33963146349
02/2001,60144.124557480354
03/2001,55697.32534788352
04/2001,60648.62665863742
05/2001,57008.08917051031
06/2001,54764.78579711538
07/2001,54547.12284728202
08/2001,52280.79844649568
09/2001,45902.34605770743
10/2001,47979.32418927312
11/2001,49659.78567379258
12/2001,51174.62445399064
01/2002,48404.077970276434
02/2002,47881.12450837031
03/2002,50433.05427854115
04/2002,49325.60947356426
05/2002,49634.07508553742
06/2002,48367.0924901104
07/2002,40699.447020491505
08/2002,41359.3564885585
09/2002,33744.19921503839
10/2002,38592.003622332675
11/2002,40974.083825335096
12/2002,39104.48832062647
01/2003,37842.94710838906
02/2003,35931.15934890537
03/2003,34589.25128566574
04/2003,40532.200331882384
05/2003,43474.73404745114
06/2003,43799.77926767462
07/2003,45273.50362337326
08/2003,44409.24523587184
09/2003,44376.70128129646
10/2003,47612.433063689554
11/2003,50206.57551619092
12/2003,55487.75698962004
01/2004,56014.43709649497
02/2004,57250.18427102067
03/2004,54351.27906931279
04/2004,53354.78578478072
05/2004,54187.16909921178
06/2004,55387.46863763687
07/2004,53169.51583518267
08/2004,52592.48677432673
09/2004,55008.073523588384
10/2004,58253.63133959354
11/2004,62264.96976691315
12/2004,65455.62465076897
01/2005,63424.27285782054
02/2005,66185.43521262081
03/2005,64667.68716696328
04/2005,62412.25595034392
05/2005,62861.68855380776
06/2005,63926.48697466258
07/2005,66892.5738465541
08/2005,66317.35248023192
09/2005,68773.52872845589
10/2005,66541.87033203636
11/2005,67708.59901966309
12/2005,70467.69375910125
01/2006,74739.31623241685
02/2006,74909.19969287553
03/2006,78027.6107903631
04/2006,80729.80393018581
05/2006,79337.76640087091
06/2006,78957.7404332193
07/2006,80296.2003396737
08/2006,83525.18969410428
09/2006,84251.26878296775
10/2006,86836.22930736248
11/2006,90076.27920873257
12/2006,92865.3906462534
01/2007,92732.86080914967
02/2007,92526.90476438463
03/2007,95460.3789004894
04/2007,102918.64765961173
05/2007,105815.54870516757
06/2007,105944.62115473083
07/2007,103467.00152746438
08/2007,103089.33567093727
09/2007,108819.16212735674
10/2007,113685.35788287045
11/2007,113936.42910410154
12/2007,113759.13085761073
01/2008,99164.18553061338
02/2008,99354.72254702306
03/2008,100940.36452999053
04/2008,105234.69975704674
05/2008,105476.45867852228
06/2008,95271.54157889592
07/2008,94840.8983426745
08/2008,89578.61785564249
09/2008,78595.09953883087
10/2008,59820.517554172424
11/2008,56232.8768775455
12/2008,61948.085606126726
01/2009,52234.02512730406
02/2009,45561.68665979441
03/2009,50283.98584664833
04/2009,57927.58740737056
05/2009,64542.554700922316
06/2009,63544.04784255807
07/2009,69883.74394156826
08/2009,74308.02860542122
09/2009,78962.15888489828
10/2009,76273.13665054842
11/2009,79170.96651034366
12/2009,80572.68227165074
01/2010,73201.02328535821
02/2010,69941.32942430314
03/2010,74671.42599788633
04/2010,71063.3034385448
05/2010,61930.507202534616
06/2010,61018.56280238464
07/2010,69058.4682967859
08/2010,64384.64727925651
09/2010,72648.32314026024
10/2010,76417.86618980012
11/2010,67034.80514076847
12/2010,72630.12696780641
01/2011,78860.8775570091
02/2011,81300.95633482006
03/2011,80673.99810325303
04/2011,87662.2051341611
05/2011,82032.61163090593
06/2011,82187.05396539318
07/2011,76101.58676075812
08/2011,66547.51920184022
09/2011,59029.25139072466
10/2011,67020.83207754344
11/2011,62968.02571149074
12/2011,60413.30108424382
01/2012,64359.92176129469
02/2012,68277.1429888305
03/2012,66945.8847435682
04/2012,62118.619922341066
05/2012,54382.52384836405
06/2012,59211.74631549992
07/2012,59431.4155740979
08/2012,64054.40889565064
09/2012,66196.25544846134
10/2012,67929.14571792418
11/2012,69879.31139313416
12/2012,72727.49994652996
01/2013,76780.30432427346
02/2013,72498.79391782738
03/2013,70504.60015932859
04/2013,74887.11889142776
05/2013,76939.23426073838
06/2013,72858.30202270197
07/2013,78763.36177720381
08/2013,77220.51223264736
09/2013,83888.90419212304
10/2013,89918.31946000704
11/2013,90423.87707951487
12/2013,92366.4609864373
01/2014,87928.62880515413
02/2014,93912.1958176823
03/2014,94208.11271018638
04/2014,96075.91771268756
05/2014,96938.11455690891
06/2014,96999.63623704438
07/2014,91809.7292646269
08/2014,92181.48004413105
09/2014,89539.32848468774
10/2014,86099.68735111643
11/2014,89717.69415557249
12/2014,84574.77984737988
01/2015,84020.13051633116
02/2015,89723.4550493365
03/2015,88306.18242341232
04/2015,90333.19495177483
05/2015,88256.09547381721
06/2015,86480.42937487354
07/2015,89186.06092043211
08/2015,82880.5594893519
09/2015,78583.89810720632
10/2015,85272.62364569891
11/2015,84088.29635194885
12/2015,80704.684262665
01/2016,75553.0805908013
02/2016,72910.78338473196
03/2016,77824.3078644449
04/2016,78965.44906039676
05/2016,79136.98405572702
06/2016,73891.62830646714
07/2016,77304.12904053423
08/2016,78323.77156625535
09/2016,78056.47577760047
10/2016,77983.91720735701
11/2016,75775.56614056767
12/2016,81042.7843494453
01/2017,81265.33102483729
02/2017,82376.19198601281
03/2017,87799.61318313488
04/2017,91523.6163914611
05/2017,94884.56743494984
06/2017,93630.0482164745
07/2017,96494.27666265858
08/2017,96598.1215283258
09/2017,101413.20970060013
10/2017,102235.17608449684
11/2017,101206.28832576133
12/2017,100645.23605566488
01/2018,107770.134617963
02/2018,100797.14009318558
03/2018,99467.13619195619
04/2018,103175.54140028622
05/2018,97411.90015014997
06/2018,96874.24891024343
07/2018,101358.39303963953
08/2018,96891.82080122994
09/2018,96532.04089329594
10/2018,88842.79115827326
11/2018,88533.73037510831
12/2018,84533.1332822812
01/2019,89481.5925452854
02/2019,92848.16550329623
03/2019,93041.56385143561
04/2019,97851.78948852692
05/2019,91891.60659960736
06/2019,99407.14000931938
07/2019,97320.20554440524
08/2019,95282.72797318792
09/2019,98012.19566718992
10/2019,101481.64737499536
11/2019,102711.05651031465
12/2019,106328.41359913776
01/2020,101820.27088715132
02/2020,92574.82165902223
03/2020,77419.64503122885
04/2020,80946.34926927206
05/2020,86807.1702630513
06/2020,92872.7421719064
07/2020,96686.13547607441
08/2020,100539.22302810101
09/2020,96291.93667369949
10/2020,89177.04467634592
11/2020,107844.01341361493
12/2020,112421.03185904279
01/2021,109090.83011271295
02/2021,113907.37885883254
03/2021,118869.95460525774
04/2021,124721.38063562373
05/2021,128848.4371825328
06/2021,126359.61738568236
07/2021,127344.93864651656
08/2021,130070.22093772843
09/2021,122927.48419388237
10/2021,129993.95426605933
11/2021,121354.61354957908
12/2021,127985.43806149883
01/2022,122562.11505351473
02/2022,115748.65503026205
03/2022,114213.16769465113
04/2022,106181.34853474067
05/2022,108868.03918484542
06/2022,96308.36481064932
07/2022,101589.80996745455
08/2022,94539.34045026112
09/2022,87027.90468389502
10/2022,96552.45032773788
11/2022,110852.56112870928
12/2022,109089.74721046293
01/2023,121749.84227231197
02/2023,121614.29043499783
03/2023,126975.92335186584
04/2023,130317.83821583736
05/2023,123978.61951343993
06/2023,131573.73678513148
07/2023,135801.57091524338
08/2023,128756.9603740357
09/2023,122006.56972199594
10/2023,119054.96243140947
11/2023,132405.8360451847
12/2023,138138.41864344248
01/2024,139448.88015591737
02/2024,146334.93737261754
03/2024,152457.1694741569
04/2024,147462.88473205746
05/2024,152469.69639366097
06/2024,147792.5673296623
07/2024,149015.5023363681
08/2024,155316.81090290283
09/2024,158271.5592808009
10/2024,148692.36280336665
11/2024,143792.83671103255
12/2024,144178.72154727738
01/2025,155917.3466124576
02/2025,161575.2858089714